case=119 start=(241,144) goal=(26,33) dist=2868 steps=250 (H=158,D=92) time=5ms | PQ push=46881 pop=46881 dec=10 scans=0 moves=653040 | algo relax=355130 improved=46890 settled=46881
case=120 start=(79,201) goal=(77,204) dist=38 steps=3 (H=1,D=2) time=5ms | PQ push=46881 pop=46881 dec=26 scans=0 moves=655440 | algo relax=355130 improved=46906 settled=46881
case=121 start=(58,205) goal=(86,61) dist=1586 steps=147 (H=118,D=29) time=5ms | PQ push=46881 pop=46881 dec=24 scans=0 moves=647522 | algo relax=355130 improved=46904 settled=46881
case=122 start=(59,251) goal=(94,157) dist=1206 steps=115 (H=101,D=14) time=4ms | PQ push=46881 pop=46881 dec=81 scans=0 moves=641376 | algo relax=355130 improved=46961 settled=46881
case=123 start=(206,181) goal=(73,154) dist=1478 steps=133 (H=96,D=37) time=5ms | PQ push=46881 pop=46881 dec=23 scans=0 moves=651940 | algo relax=355130 improved=46903 settled=46881
case=124 start=(163,36) goal=(90,99) dist=1098 steps=91 (H=44,D=47) time=4ms | PQ push=46881 pop=46881 dec=18 scans=0 moves=657182 | algo relax=355130 improved=46898 settled=46881
case=125 start=(215,185) goal=(252,125) dist=858 steps=77 (H=55,D=22) time=5ms | PQ push=46881 pop=46881 dec=46 scans=0 moves=648124 | algo relax=355130 improved=46926 settled=46881
case=126 start=(154,46) goal=(237,81) dist=982 steps=85 (H=52,D=33) time=5ms | PQ push=46881 pop=46881 dec=15 scans=0 moves=664938 | algo relax=355130 improved=46895 settled=46881
case=127 start=(84,179) goal=(65,101) dist=892 steps=80 (H=57,D=23) time=4ms | PQ push=46881 pop=46881 dec=23 scans=0 moves=664608 | algo relax=355130 improved=46903 settled=46881
case=128 start=(131,250) goal=(74,169) dist=1038 steps=81 (H=24,D=57) time=4ms | PQ push=46881 pop=46881 dec=19 scans=0 moves=643518 | algo relax=355130 improved=46899 settled=46881
case=129 start=(222,228) goal=(201,93) dist=2100 steps=190 (H=140,D=50) time=4ms | PQ push=46881 pop=46881 dec=19 scans=0 moves=631312 | algo relax=355130 improved=46899 settled=46881
case=130 start=(1,249) goal=(195,2) dist=3600 steps=302 (H=157,D=145) time=5ms | PQ push=46881 pop=46881 dec=21 scans=0 moves=636208 | algo relax=355130 improved=46901 settled=46881
case=131 start=(26,119) goal=(178,240) dist=2136 steps=166 (H=47,D=119) time=5ms | PQ push=46881 pop=46881 dec=13 scans=0 moves=659018 | algo relax=355130 improved=46893 settled=46881
case=132 start=(191,196) goal=(69,173) dist=1312 steps=122 (H=99,D=23) time=5ms | PQ push=46881 pop=46881 dec=22 scans=0 moves=655476 | algo relax=355130 improved=46902 settled=46881
case=133 start=(221,219) goal=(187,193) dist=648 steps=60 (H=48,D=12) time=4ms | PQ push=46881 pop=46881 dec=22 scans=0 moves=632942 | algo relax=355130 improved=46902 settled=46881
case=134 start=(1,255) goal=(180,71) dist=3064 steps=266 (H=165,D=101) time=5ms | PQ push=46881 pop=46881 dec=21 scans=0 moves=636000 | algo relax=355130 improved=46901 settled=46881
case=135 start=(233,213) goal=(3,58) dist=3168 steps=262 (H=125,D=137) time=4ms | PQ push=46881 pop=46881 dec=24 scans=0 moves=631352 | algo relax=355130 improved=46904 settled=46881
case=136 start=(57,20) goal=(162,183) dist=2304 steps=204 (H=138,D=66) time=5ms | PQ push=46881 pop=46881 dec=14 scans=0 moves=636320 | algo relax=355130 improved=46894 settled=46881
case=137 start=(106,30) goal=(174,48) dist=982 steps=85 (H=52,D=33) time=5ms | PQ push=46881 pop=46881 dec=18 scans=0 moves=661996 | algo relax=355130 improved=46898 settled=46881
case=138 start=(39,239) goal=(229,37) dist=3466 steps=291 (H=152,D=139) time=5ms | PQ push=46881 pop=46881 dec=22 scans=0 moves=636986 | algo relax=355130 improved=46902 settled=46881
case=139 start=(148,70) goal=(113,118) dist=692 steps=60 (H=37,D=23) time=5ms | PQ push=46881 pop=46881 dec=19 scans=0 moves=681846 | algo relax=355130 improved=46899 settled=46881
case=140 start=(226,142) goal=(78,153) dist=1794 steps=149 (H=73,D=76) time=5ms | PQ push=46881 pop=46881 dec=10 scans=0 moves=654684 | algo relax=355130 improved=46890 settled=46881
case=141 start=(67,253) goal=(135,8) dist=2884 steps=256 (H=175,D=81) time=5ms | PQ push=46881 pop=46881 dec=18 scans=0 moves=641762 | algo relax=355130 improved=46898 settled=46881
case=142 start=(187,228) goal=(246,146) dist=1578 steps=141 (H=99,D=42) time=5ms | PQ push=46881 pop=46881 dec=17 scans=0 moves=644262 | algo relax=355130 improved=46897 settled=46881
case=143 start=(126,51) goal=(48,24) dist=980 steps=88 (H=63,D=25) time=5ms | PQ push=46881 pop=46881 dec=18 scans=0 moves=669054 | algo relax=355130 improved=46898 settled=46881
case=144 start=(103,154) goal=(77,141) dist=312 steps=26 (H=13,D=13) time=5ms | PQ push=46881 pop=46881 dec=14 scans=0 moves=684750 | algo relax=355130 improved=46894 settled=46881
case=145 start=(7,237) goal=(91,157) dist=1344 steps=108 (H=42,D=66) time=5ms | PQ push=46881 pop=46881 dec=21 scans=0 moves=636298 | algo relax=355130 improved=46901 settled=46881
